Australian Road Deaths Database: Fatalities,,,,,,,,,,,,,,,,,,,
(Data current to February 2026),,,,,,,,,,,,,,,,,,,
Note: A value of '-9' is used for a missing/unknown value.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas 2021,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period
6364226446978754856,WA,3,2025,Thursday,15:16:00,Single,No,No,No,50,Pedestrian,Male,1,Very Remote Australia,Western Australia - Outback (South),Leonora,Local Road,No,No
1136975915075080955,VIC,7,2019,Wednesday,15:50:00,Multiple,No,No,No,60,Passenger,Female,86,Inner Regional Australia,Ballarat,Hepburn,Sub-arterial Road,No,No
1199311250456,NSW,11,1993,Thursday,20:00:00,Single,No,-9,No,100,Passenger,Male,17,Unknown,Unknown,Unknown,Unknown,No,No
2199102090055,VIC,2,1991,Saturday,13:30:00,Single,No,No,No,60,Pedestrian,Female,90,Unknown,Unknown,Unknown,Unknown,No,No
2199908130216,VIC,8,1999,Friday,10:25:00,Single,No,No,No,60,Pedestrian,Female,70,Unknown,Unknown,Unknown,Unknown,No,No
3260405246748691511,VIC,6,2021,Sunday,11:52:00,Single,No,No,No,60,Pedestrian,Male,68,Major Cities of Australia,Melbourne - Inner South,Monash,Arterial Road,No,No
3200401010003,QLD,1,2004,Thursday,06:00:00,Single,No,No,No,100,Driver,Female,54,Unknown,Unknown,Unknown,Unknown,Yes,No
1199209300431,NSW,9,1992,Wednesday,06:50:00,Single,No,-9,No,60,Driver,Male,17,Unknown,Unknown,Unknown,Unknown,No,No
2200509170218,VIC,9,2005,Saturday,18:35:00,Single,Yes,No,No,60,Pedestrian,Male,22,Unknown,Unknown,Unknown,Unknown,No,No
3199204150087,QLD,4,1992,Wednesday,15:00:00,Single,No,-9,No,100,Pedestrian,Female,6,Unknown,Unknown,Unknown,Unknown,No,No
3200702100031,QLD,2,2007,Saturday,07:00:00,Multiple,No,No,No,60,Driver,Male,61,Unknown,Unknown,Unknown,Unknown,No,No
320190590358,QLD,3,2019,Sunday,09:00:00,Multiple,No,No,No,100,Passenger,Female,9,Inner Regional Australia,Central Queensland,Livingstone,Local Road,No,No
2201505140087,VIC,5,2015,Thursday,18:30:00,Multiple,No,No,Yes,100,Driver,Male,78,Inner Regional Australia,Shepparton,Campaspe,Arterial Road,No,No
120161107346,NSW,7,2016,Sunday,21:15:00,Single,No,No,No,50,Passenger,Male,17,Major Cities of Australia,Central Coast,Central Coast (NSW),Collector Road,No,No
3199311210316,QLD,11,1993,Sunday,12:00:00,Multiple,No,-9,No,100,Motorcycle rider,Male,22,Unknown,Unknown,Unknown,Unknown,No,No
2198905140267,VIC,5,1989,Sunday,00:50:00,Single,No,No,No,60,Pedestrian,Male,19,Unknown,Unknown,Unknown,Unknown,No,No
5199909190133,WA,9,1999,Sunday,02:20:00,Single,No,-9,No,110,Motorcycle rider,Male,19,Unknown,Unknown,Unknown,Unknown,No,No
1198911180677,NSW,11,1989,Saturday,06:25:00,Multiple,No,-9,No,60,Driver,Female,21,Unknown,Unknown,Unknown,Unknown,No,No
6199804030015,TAS,4,1998,Friday,19:00:00,Multiple,No,-9,No,100,Driver,Male,47,Unknown,Unknown,Unknown,Unknown,No,No
3200011050237,QLD,11,2000,Sunday,02:00:00,Single,No,-9,No,60,Pedestrian,Male,16,Unknown,Unknown,Unknown,Unknown,No,No
6200308300027,TAS,8,2003,Saturday,13:45:00,Multiple,No,-9,No,110,Driver,Male,72,Unknown,Unknown,Unknown,Unknown,No,No
2199101270039,VIC,1,1991,Sunday,13:15:00,Single,No,No,No,100,Passenger,Male,23,Unknown,Unknown,Unknown,Unknown,No,No
